Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

-10.01599958	-0.00601215	-0.00076296	-0.00064089	-0.00064089
-10.00799958	-0.00076296	-0.00210578	0.00061037	-0.00323496
-9.99999958	-0.00463881	-0.00100711	-0.00161748	-0.00387585
-9.99199958	-0.00125126	-0.00149541	0.00518815	0.00122074
-9.98399958	-0.00787378	-0.00112919	0.00000000	0.00469985
-9.97599958	-0.00650044	-0.00299081	-0.00039674	-0.00186163
-9.96799958	-0.00524918	-0.00015259	-0.00027467	-0.00076296
-9.95999958	-0.00625629	0.00061037	0.00344859	-0.00323496
-9.95199958	-0.00375378	-0.00112919	-0.00137333	-0.00076296
-9.94399958	-0.00839259	0.00122074	-0.00198370	0.00433363
-9.93599958	-0.00439467	-0.00311289	0.00296030	0.00271615
-9.92799958	-0.00100711	-0.00335704	0.00405896	-0.00238044
-9.91999958	-0.00302133	-0.00234993	0.00085452	-0.00360118
-9.91199958	-0.00338756	-0.00198370	-0.00149541	0.00073244
-9.90399958	-0.00152593	-0.00234993	0.00134281	0.00222785
-9.89599958	-0.00427259	-0.00408948	-0.00064089	0.00048830
-9.88799958	-0.00363170	-0.00088504	0.00036622	0.00000000
-9.87999958	-0.00488296	0.00024415	-0.00262459	-0.00360118
-9.87199958	-0.00500504	-0.00335704	-0.00225837	-0.00448622
-9.86399958	-0.00225837	0.00036622	-0.00088504	-0.00161748
-9.85599958	-0.00451674	-0.00222785	-0.00198370	0.00247200
-9.84799958	-0.00399793	0.00146489	0.00308237	0.00061037
-9.83999958	-0.00338756	-0.00064089	-0.00335704	-0.00347911
-9.83199958	-0.00839259	0.00134281	-0.00274667	0.00000000
-9.82399958	-0.00112919	0.00036622	-0.00064089	-0.00225837
-9.81599958	-0.00564592	-0.00283822	0.00393689	0.00183111
-9.80799958	-0.00350963	-0.00421155	0.00418104	-0.00323496
-9.79999958	-0.00564592	-0.00186163	0.00170904	-0.00015259
